series_type,series_id,forecast_timestamp,forecast_revenue,base_value,up_1_feature,up_1_shap,down_1_feature,down_1_shap,up_2_feature,up_2_shap,down_2_feature,down_2_shap,up_3_feature,up_3_shap,down_3_feature,down_3_shap,up_4_feature,up_4_shap,down_4_feature,down_4_shap,up_5_feature,up_5_shap,down_5_feature,down_5_shap
region,Northeast,2018-09-16,34958.78515625,21417.42578125,rolling_mean_4,8107.65869140625,week_sin,-1998.6025390625,lag_4,4004.90625,rolling_std_4,-1974.53515625,lag_1,1829.1705322265625,,,month_sin,1198.7464599609375,,,lag_52,1176.9827880859375,,
region,Northeast,2018-09-23,21904.794921875,21417.42578125,rolling_mean_4,3983.228271484375,rolling_std_4,-1674.688720703125,month_sin,1223.340576171875,week_sin,-1662.10888671875,lag_1,524.7076416015625,days_to_month_end,-975.914306640625,lag_52,459.156005859375,lag_4,-882.4901733398438,month_cos,127.72061157226562,week_of_year,-841.5607299804688
region,South,2018-09-02,27466.703125,26096.83984375,rolling_mean_4,2576.321533203125,lag_1,-3163.83544921875,year,1559.250244140625,week_of_year,-533.4423828125,month,543.098876953125,week_sin,-505.42333984375,days_to_month_end,489.5015869140625,lag_4,-210.4660186767578,week_cos,377.0390319824219,rolling_std_4,-82.83140563964844
region,South,2018-09-09,24408.23046875,26096.83984375,rolling_mean_4,2996.967529296875,lag_1,-1601.070068359375,year,1559.250244140625,week_sin,-1582.03955078125,month,478.4955139160156,lag_52,-1530.478515625,week_cos,298.7175598144531,lag_4,-1090.5736083984375,month_sin,68.33638000488281,week_of_year,-637.991455078125
region,South,2018-09-16,34201.58984375,26096.83984375,lag_52,6398.49462890625,lag_1,-3039.30517578125,rolling_mean_4,3610.00634765625,week_sin,-722.376708984375,year,1618.9698486328125,rolling_std_4,-601.3253173828125,days_to_month_end,729.1002197265625,lag_4,-439.1121826171875,month,486.0937194824219,week_of_year,-336.0385437011719
region,South,2018-09-23,31406.560546875,26096.83984375,lag_1,4201.7041015625,week_sin,-2443.671630859375,rolling_mean_4,3049.548583984375,rolling_std_4,-1787.423828125,lag_4,710.3624267578125,,,year,629.9586791992188,,,month,468.92425537109375,,
region,Southeast,2018-09-02,143386.8125,116222.765625,lag_52,21937.767578125,lag_1,-19361.58984375,rolling_mean_4,10360.79296875,lag_4,-2231.113037109375,month,5117.8662109375,week_of_year,-1071.6495361328125,days_to_month_end,4437.3583984375,week_sin,-587.2111206054688,week_cos,3126.978515625,,
region,Southeast,2018-09-09,184949.0,116222.765625,lag_1,24902.37890625,week_of_year,-597.1434936523438,lag_52,17593.23828125,lag_4,-252.3863983154297,rolling_mean_4,14445.6953125,month_cos,-35.45533752441406,month,8281.4501953125,,,month_sin,1364.4793701171875,,
region,Southeast,2018-09-16,203007.21875,116222.765625,lag_1,38887.1171875,month_cos,-725.2457275390625,lag_52,18912.982421875,week_of_year,-564.9296875,rolling_mean_4,15767.984375,week_cos,-54.400115966796875,month,8357.646484375,,,days_to_month_end,1894.5665283203125,,
region,Southeast,2018-09-23,194897.03125,116222.765625,lag_1,36701.671875,days_to_month_end,-2501.989501953125,lag_52,17846.20703125,month_cos,-710.5951538085938,rolling_mean_4,14361.6318359375,week_of_year,-326.8902282714844,month,8416.8623046875,,,week_sin,1214.25634765625,,
