series_type,series_id,forecast_timestamp,forecast_revenue,feature,feature_value,shap_value,direction,base_value
category,Beauty & Health,2018-09-16,29002.4765625,week_sin,-0.970941817426052,535.0685424804688,up,21556.576171875
category,Beauty & Health,2018-09-16,29002.4765625,week_cos,-0.23931566428755774,-39.307533264160156,down,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,lag_1,29002.4765625,5648.15234375,up,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,lag_4,29945.5,562.1261596679688,up,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,lag_52,15755.66,1996.3956298828125,up,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,rolling_mean_4,30041.97216796875,1220.0086669921875,up,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,rolling_std_4,1754.0399323085064,-8.517194747924805,down,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,year,2018.0,920.2334594726562,up,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,month,9.0,572.762451171875,up,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,quarter,3.0,2.8940775394439697,up,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,week_of_year,38.0,-231.91664123535156,down,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,day_of_week,6.0,0.0,neutral,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,is_weekend,1.0,0.0,neutral,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,days_to_month_end,7.0,-2763.571533203125,down,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,month_sin,-1.0,-962.1173706054688,down,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,month_cos,-1.8369701987210297e-16,-29.801565170288086,down,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,week_sin,-0.992708874098054,-1636.572265625,down,21556.576171875
category,Beauty & Health,2018-09-23,26605.9296875,week_cos,-0.12053668025532357,-240.7259063720703,down,21556.576171875
category,Books & Media,2018-09-02,6288.96435546875,lag_1,1074.92,89.71646881103516,up,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,lag_4,8340.98,270.4654541015625,up,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,lag_52,6256.99,1051.858154296875,up,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,rolling_mean_4,4473.93,158.3230743408203,up,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,rolling_std_4,3009.375836348793,85.005859375,up,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,year,2018.0,362.0016784667969,up,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,month,9.0,97.28986358642578,up,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,quarter,3.0,14.809555053710938,up,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,week_of_year,35.0,-185.84698486328125,down,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,day_of_week,6.0,0.0,neutral,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,is_weekend,1.0,0.0,neutral,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,days_to_month_end,28.0,612.6607055664062,up,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,month_sin,-1.0,84.98603057861328,up,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,month_cos,-1.8369701987210297e-16,-9.570026397705078,down,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,week_sin,-0.8854560256532096,17.701366424560547,up,3501.25634765625
category,Books & Media,2018-09-02,6288.96435546875,week_cos,-0.4647231720437691,138.30670166015625,up,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,lag_1,6288.96435546875,-445.81640625,down,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,lag_4,4765.34,831.38525390625,up,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,lag_52,1564.6999999999998,-259.3929748535156,down,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,rolling_mean_4,3960.9260888671874,120.6361083984375,up,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,rolling_std_4,2195.192529967976,68.01091003417969,up,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,year,2018.0,464.3347473144531,up,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,month,9.0,46.71873092651367,up,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,quarter,3.0,2.879704713821411,up,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,week_of_year,36.0,-256.2406921386719,down,3501.25634765625
