series_type,series_id,feature,mean_abs_shap,importance_pct,global_rank
category,Pet Supplies,days_to_month_end,76.141495,3.042997,9
category,Pet Supplies,month,67.48855,2.6971817,10
category,Pet Supplies,week_cos,59.25476,2.368118,11
category,Pet Supplies,month_sin,25.373001,1.0140327,12
category,Pet Supplies,month_cos,8.7858095,0.35112512,13
category,Pet Supplies,quarter,7.6768327,0.30680484,14
category,Pet Supplies,is_weekend,0.0,0.0,15
category,Pet Supplies,day_of_week,0.0,0.0,16
category,Phones & Telecom,lag_52,904.4946,22.071314,1
category,Phones & Telecom,rolling_mean_4,833.4257,20.337103,2
category,Phones & Telecom,week_sin,672.5093,16.41045,3
category,Phones & Telecom,lag_1,412.45084,10.06455,4
category,Phones & Telecom,days_to_month_end,333.54062,8.138998,5
category,Phones & Telecom,lag_4,301.71695,7.3624425,6
category,Phones & Telecom,week_cos,189.46516,4.623295,7
category,Phones & Telecom,rolling_std_4,112.97259,2.7567365,8
category,Phones & Telecom,week_of_year,104.77213,2.5566306,9
category,Phones & Telecom,month_sin,81.574524,1.9905667,10
category,Phones & Telecom,month,70.706116,1.7253578,11
category,Phones & Telecom,year,52.797337,1.288351,12
category,Phones & Telecom,month_cos,25.012974,0.61036205,13
category,Phones & Telecom,quarter,2.6163433,0.06384353,14
category,Phones & Telecom,is_weekend,0.0,0.0,15
category,Phones & Telecom,day_of_week,0.0,0.0,16
category,Sports & Leisure,lag_1,2250.3047,27.780527,1
category,Sports & Leisure,lag_52,1592.5736,19.660686,2
category,Sports & Leisure,rolling_mean_4,1176.77,14.527496,3
category,Sports & Leisure,week_of_year,1164.2046,14.372373,4
category,Sports & Leisure,rolling_std_4,490.6248,6.0568757,5
category,Sports & Leisure,week_cos,320.66476,3.9586802,6
category,Sports & Leisure,days_to_month_end,262.47928,3.240367,7
category,Sports & Leisure,week_sin,259.44672,3.2029293,8
category,Sports & Leisure,lag_4,234.96584,2.9007072,9
category,Sports & Leisure,month,140.82312,1.7384937,10
category,Sports & Leisure,month_cos,97.81858,1.2075928,11
category,Sports & Leisure,month_sin,75.31303,0.9297566,12
category,Sports & Leisure,quarter,29.347437,0.36230084,13
category,Sports & Leisure,year,4.9583898,0.061212458,14
category,Sports & Leisure,is_weekend,0.0,0.0,15
category,Sports & Leisure,day_of_week,0.0,0.0,16
region,Central-West,lag_52,2050.9524,28.430908,1
region,Central-West,rolling_mean_4,1320.4686,18.304728,2
region,Central-West,lag_1,1109.3351,15.377932,3
region,Central-West,lag_4,603.6801,8.368392,4
region,Central-West,month,455.8804,6.319549,5
region,Central-West,week_sin,428.91177,5.945702,6
region,Central-West,rolling_std_4,401.50336,5.565758,7
region,Central-West,days_to_month_end,381.93597,5.2945094,8
region,Central-West,week_cos,164.91039,2.2860367,9
region,Central-West,week_of_year,159.6778,2.213501,10
region,Central-West,month_cos,82.80436,1.1478586,11
region,Central-West,month_sin,53.752098,0.74512756,12
region,Central-West,quarter,0.0,0.0,13
region,Central-West,year,0.0,0.0,14
region,Central-West,is_weekend,0.0,0.0,15
region,Central-West,day_of_week,0.0,0.0,16
region,North,lag_52,683.9918,21.889145,1
region,North,lag_1,557.0163,17.825666,2
region,North,days_to_month_end,514.8063,16.47486,3
region,North,lag_4,421.59573,13.49193,4
region,North,rolling_mean_4,246.72641,7.895752,5
region,North,rolling_std_4,241.23637,7.72006,6
region,North,week_cos,190.24838,6.0883393,7
region,North,week_sin,117.431786,3.7580583,8
region,North,year,60.396767,1.9328207,9
region,North,week_of_year,44.96943,1.4391141,10
region,North,month_cos,16.395803,0.5246994,11
region,North,month,15.997741,0.51196057,12
region,North,month_sin,13.986486,0.44759634,13
region,North,quarter,0.0,0.0,14
region,North,is_weekend,0.0,0.0,15
region,North,day_of_week,0.0,0.0,16
region,Northeast,rolling_mean_4,4449.1216,35.366158,1
region,Northeast,lag_1,2279.4954,18.119755,2
region,Northeast,lag_4,1461.3602,11.616382,3
region,Northeast,week_sin,958.0484,7.615546,4
region,Northeast,rolling_std_4,699.8498,5.5631204,5
region,Northeast,week_cos,607.56903,4.8295784,6
region,Northeast,days_to_month_end,583.08044,4.634918,7
region,Northeast,lag_52,558.0472,4.4359283,8
region,Northeast,week_of_year,330.91776,2.6304717,9
region,Northeast,month_sin,314.98572,2.5038278,10
region,Northeast,month_cos,226.68982,1.8019619,11
region,Northeast,month,87.57445,0.69613105,12
region,Northeast,year,23.426569,0.18621826,13
region,Northeast,quarter,0.0,0.0,14
region,Northeast,is_weekend,0.0,0.0,15
region,Northeast,day_of_week,0.0,0.0,16
region,South,lag_1,6426.8125,41.682613,1
region,South,rolling_mean_4,2679.1772,17.376438,2
region,South,rolling_std_4,1108.9658,7.1924605,3
region,South,lag_52,1102.2032,7.1485996,4
region,South,week_sin,673.8996,4.370735,5
region,South,week_cos,627.78815,4.0716686,6
region,South,lag_4,621.3467,4.029891,7
region,South,month,537.15784,3.4838643,8
region,South,days_to_month_end,506.5863,3.2855854,9
region,South,week_of_year,439.66937,2.8515797,10
region,South,year,402.4851,2.6104124,11
