series_type,series_id,feature,reference_start,reference_end,current_start,current_end,comparison_type,ks_statistic,ks_p_value,psi,status
category,Sports & Leisure,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8076923076923077,1.0481398969100314e-08,9.458573594058128,alert
category,Sports & Leisure,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8461538461538461,1.091812392614616e-09,9.16334520706801,alert
category,Sports & Leisure,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8461538461538461,1.091812392614616e-09,9.627248317630558,alert
category,Sports & Leisure,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9230769230769231,5.3476525352552624e-12,12.096551408712614,alert
category,Sports & Leisure,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.5,0.002560959179420108,5.450401706628098,alert
region,Central-West,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8846153846153846,8.912754225425437e-11,8.393502005659307,alert
region,Central-West,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9230769230769231,5.3476525352552624e-12,10.719901745999614,alert
region,Central-West,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8846153846153846,8.912754225425437e-11,9.344975718578926,alert
region,Central-West,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
region,Central-West,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.46153846153846156,0.007134100565905311,4.337027415106993,alert
region,North,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.6153846153846154,6.380089941770941e-05,6.54873481967376,alert
region,North,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.6923076923076923,3.034926505070743e-06,7.638921428947433,alert
region,North,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.6923076923076923,3.034926505070743e-06,8.515402658134587,alert
region,North,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9615384615384616,2.0971186412765735e-13,12.096551408712614,alert
region,North,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.5384615384615384,0.0008323117333128456,5.5245762787446875,alert
region,Northeast,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8846153846153846,8.912754225425437e-11,9.766624510346547,alert
region,Northeast,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9230769230769231,5.3476525352552624e-12,11.141550537767234,alert
region,Northeast,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.9615384615384616,2.0971186412765735e-13,10.719901745999614,alert
region,Northeast,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
region,Northeast,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.6538461538461539,1.4837418469234745e-05,5.7788916182650585,alert
region,South,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8076923076923077,1.0481398969100314e-08,8.6354113787602,alert
region,South,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8461538461538461,1.091812392614616e-09,9.16334520706801,alert
region,South,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.8846153846153846,8.912754225425437e-11,10.719901745999614,alert
region,South,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
region,South,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.5384615384615384,0.0008323117333128456,5.285712318872425,alert
region,Southeast,target_revenue,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
region,Southeast,lag_1,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
region,Southeast,lag_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
region,Southeast,rolling_mean_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,1.0,4.03292046399341e-15,12.096551408712614,alert
region,Southeast,rolling_std_4,2017-03-05,2017-08-27,2018-03-04,2018-08-26,same_period_previous_year,0.6538461538461539,1.4837418469234745e-05,6.040917333729922,alert
